127.0.0.1 - - [14/Mar/2023:14:38:30 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [14/Mar/2023:14:38:31 +0900] "GET /tomcatTest/localStorage.html HTTP/1.1" 200 765
0:0:0:0:0:0:0:1 - - [14/Mar/2023:14:38:31 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [14/Mar/2023:14:40:11 +0900] "GET /tomcatTest/localStorage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2023:14:41:38 +0900] "GET /tomcatTest/localStorage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2023:14:42:58 +0900] "GET /tomcatTest/localStorage.html HTTP/1.1" 200 790
0:0:0:0:0:0:0:1 - - [14/Mar/2023:14:43:01 +0900] "GET /tomcatTest/localStorage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2023:14:43:39 +0900] "GET /tomcatTest/localStorage.html HTTP/1.1" 200 624
0:0:0:0:0:0:0:1 - - [14/Mar/2023:14:44:13 +0900] "GET /tomcatTest/localStorage.html HTTP/1.1" 200 670
0:0:0:0:0:0:0:1 - - [14/Mar/2023:14:56:13 +0900] "GET /tomcatTest/jspTest.jsp HTTP/1.1" 200 135
